output	input
1350.0	66.0
-70.0	-5.0
-370.0	-20.0
830.0	40.0
1550.0	76.0
-1850.0	-94.0
1790.0	88.0
350.0	16.0
-310.0	-17.0
-1090.0	-56.0
1510.0	74.0
1590.0	78.0
-1310.0	-67.0
-30.0	-3.0
-570.0	-30.0
490.0	23.0
-110.0	-7.0
-1370.0	-70.0
1230.0	60.0
610.0	29.0
290.0	13.0
-1890.0	-96.0
-990.0	-51.0
1010.0	49.0
1490.0	73.0
-1770.0	-90.0
1670.0	82.0
-890.0	-46.0
-1070.0	-55.0
1150.0	56.0
-1630.0	-83.0
-910.0	-47.0
-770.0	-40.0
1770.0	87.0
1170.0	57.0
1310.0	64.0
510.0	24.0
-650.0	-34.0
1050.0	51.0
90.0	3.0
-430.0	-23.0
1410.0	69.0
130.0	5.0
-1470.0	-75.0
1830.0	90.0
1650.0	81.0
-1710.0	-87.0
-1650.0	-84.0
1870.0	92.0
-210.0	-12.0
1730.0	85.0
670.0	32.0
1210.0	59.0
570.0	27.0
-630.0	-33.0
10.0	-1.0
-550.0	-29.0
1250.0	61.0
250.0	11.0
970.0	47.0
-50.0	-4.0
50.0	1.0
1130.0	55.0
-590.0	-31.0
-670.0	-35.0
-690.0	-36.0
1070.0	52.0
-350.0	-19.0
-290.0	-16.0
1470.0	72.0
630.0	30.0
-1190.0	-61.0
-1970.0	-100.0
1950.0	96.0
-1350.0	-69.0
-1590.0	-81.0
730.0	35.0
-1550.0	-79.0
-450.0	-24.0
910.0	44.0
190.0	8.0
-730.0	-38.0
170.0	7.0
310.0	14.0
-1510.0	-77.0
-1450.0	-74.0
410.0	19.0
-870.0	-45.0
1570.0	77.0
-930.0	-48.0
-1170.0	-60.0
-1810.0	-92.0
-1670.0	-85.0
-1730.0	-88.0
70.0	2.0
-1290.0	-66.0
-1010.0	-52.0
-1570.0	-80.0
870.0	42.0
-510.0	-27.0
-1830.0	-93.0
-1490.0	-76.0
1610.0	79.0
-1910.0	-97.0
810.0	39.0
1910.0	94.0
-1130.0	-58.0
110.0	4.0
-1030.0	-53.0
390.0	18.0
1270.0	62.0
-530.0	-28.0
710.0	34.0
430.0	20.0
1990.0	98.0
770.0	37.0
-250.0	-14.0
-490.0	-26.0
-130.0	-8.0
1370.0	67.0
550.0	26.0
1810.0	89.0
650.0	31.0
-1430.0	-73.0
1110.0	54.0
1090.0	53.0
-950.0	-49.0
-410.0	-22.0
150.0	6.0
-1250.0	-64.0
930.0	45.0
-1050.0	-54.0
-1330.0	-68.0
690.0	33.0
890.0	43.0
-610.0	-32.0
-330.0	-18.0
-1790.0	-91.0
-1690.0	-86.0
790.0	38.0
-1870.0	-95.0
-750.0	-39.0
2010.0	99.0
-790.0	-41.0
-970.0	-50.0
1690.0	83.0
-1410.0	-72.0
1530.0	75.0
-1270.0	-65.0
850.0	41.0
1930.0	95.0
1390.0	68.0
30.0	0.0
-1150.0	-59.0
450.0	21.0
-1610.0	-82.0
270.0	12.0
990.0	48.0
1450.0	71.0
-1930.0	-98.0
-90.0	-6.0
590.0	28.0
-170.0	-10.0
1030.0	50.0
230.0	10.0
-850.0	-44.0
-1230.0	-63.0
-810.0	-42.0
1430.0	70.0
530.0	25.0
-710.0	-37.0
-1110.0	-57.0
1850.0	91.0
330.0	15.0
-270.0	-15.0
1290.0	63.0
-10.0	-2.0
-390.0	-21.0
950.0	46.0
1630.0	80.0
-1750.0	-89.0
-1530.0	-78.0
1190.0	58.0
-830.0	-43.0
370.0	17.0
1710.0	84.0
1970.0	97.0
-470.0	-25.0
-230.0	-13.0
1750.0	86.0
750.0	36.0
470.0	22.0
1890.0	93.0
1330.0	65.0
-1390.0	-71.0
-150.0	-9.0
-190.0	-11.0
-1210.0	-62.0
210.0	9.0
-1950.0	-99.0
